V8GQEFNYP3VEQARF  32 GiB    8   t3.2xlarge    Intel Skylake E5 2686 v5 (2.5 GHz)
YXWUYKGFDQPNJA4R  30 GiB    8   m3.2xlarge    Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)
ADZF37JDQVT3WGPY  64 GiB    16  m5d.4xlarge   Intel Xeon Platinum 8175
BFK6KTUS8EDEPQ9T  64 GiB    16  m5d.4xlarge   Intel Xeon Platinum 8175
CBCQ6BE3V4RSGNFF  64 GiB    16  m5.4xlarge    Intel Xeon Platinum 8175
JGXEWM5NJCZJPHGG  64 GiB    16  m4.4xlarge    Intel Xeon E5-2676 v3 (Haswell)
PGN22TZDU2D3QMSP  64 GiB    16  m4.4xlarge    Intel Xeon E5-2676 v3 (Haswell)
QDVJP86F8XHGBSMH  64 GiB    16  m4.4xlarge    Intel Xeon E5-2676 v3 (Haswell)
QR7F3KDAWU8AH7GS  64 GiB    16  m5.4xlarge    Intel Xeon Platinum 8175
WDVKBS7C22UHKEXB  64 GiB    16  m5.4xlarge    Intel Xeon Platinum 8175
WVY4KGHQEHERBSCH  64 GiB    16  m5d.4xlarge   Intel Xeon Platinum 8175
M3CFG9X9RYUCUM8N  160 GiB   40  m4.10xlarge   Intel Xeon E5-2676 v3 (Haswell)
XWVCP8TVZ3EZXHJT  160 GiB   40  m4.10xlarge   Intel Xeon E5-2676 v3 (Haswell)
ZWPFR7HFRCGJ2QTR  160 GiB   40  m4.10xlarge   Intel Xeon E5-2676 v3 (Haswell)
3C2PC6ZPZ5J45XG4  192 GiB   48  m5d.12xlarge  Intel Xeon Platinum 8175
94CQG9X2X6WQEE35  192 GiB   48  m5.12xlarge   Intel Xeon Platinum 8175
A65VEHYMUBAYJ5QH  192 GiB   48  m5.12xlarge   Intel Xeon Platinum 8175
FVQQQM6YZMWR2CH8  192 GiB   48  m5d.12xlarge  Intel Xeon Platinum 8175
UZVS6KCHDUP826JV  192 GiB   48  m5d.12xlarge  Intel Xeon Platinum 8175
WF33NBYGCMYCFQ7Q  192 GiB   48  m5.12xlarge   Intel Xeon Platinum 8175
D2CRNK8RXJDCYF6U  256 GiB   64  m4.16xlarge   Intel Xeon E5-2686 v4 (Broadwell)
MB2NWM9D8ZZSBHR4  256 GiB   64  m4.16xlarge   Intel Xeon E5-2686 v4 (Broadwell)
QJ82YTRR8GFNUS8T  256 GiB   64  m4.16xlarge   Intel Xeon E5-2686 v4 (Broadwell)
85ZP32Z5B2G2SYVH  384 GiB   96  m5d.24xlarge  Intel Xeon Platinum 8175
9UR7CWCC3D8XJM5D  384 GiB   96  m5.metal      Intel Xeon Platinum 8175
A4PSTURH2MNXCCEY  384 GiB   96  m5.24xlarge   Intel Xeon Platinum 8175
BMXENRM9BM54QBEV  384 GiB   96  m5.24xlarge   Intel Xeon Platinum 8175
D39RTF6K3E66K2YW  384 GiB   96  m5.24xlarge   Intel Xeon Platinum 8175
EWWU8SURA5Y4Q8WW  384 GiB   96  m5.metal      Intel Xeon Platinum 8175
HYB77C5NRCZAEMRF  384 GiB   96  m5d.24xlarge  Intel Xeon Platinum 8175
MU5U93W873MZ8Z5D  384 GiB   96  m5.metal      Intel Xeon Platinum 8175
TPEGV8AP6ZRM6Y8Z  384 GiB   96  m5d.metal     Intel Xeon Platinum 8175
VDE8R7MCSGDRYAK3  384 GiB   96  m5d.metal     Intel Xeon Platinum 8175
VKC9JFWDJCMTC9PM  384 GiB   96  m5d.metal     Intel Xeon Platinum 8175
Z2K4FMUDPSU2Y95K  384 GiB   96  m5d.24xlarge  Intel Xeon Platinum 8175
